First_Name,Last_Name,Address,Email,DOB,Ethnicity,Education,Age
James,Butt,6649 N Blue Gum St,jbutt@gmail.com,1976-06-17,Black,High School,45
Josephine,Darakjy,4 B Blue Ridge Blvd,josephine_darakjy@darakjy.org,1980-11-23,Native American,Associate,41
Art,Venere,8 W Cerritos Ave #54,art@venere.org,1970-11-19,Unknown,Bachelor's,51
Lenna,Paprocki,639 Main St,lpaprocki@hotmail.com,2001-05-08,White,Doctorate,20
Donette,Foller,34 Center St,donette.foller@cox.net,2000-06-13,Native American,Doctorate,21
Simona,Morasca,3 Mcauley Dr,simona@morasca.com,1976-09-23,Unknown,Doctorate,45
Mitsue,Tollner,7 Eads St,mitsue_tollner@yahoo.com,1998-02-14,White,Doctorate,23
Leota,Dilliard,7 W Jackson Blvd,leota@hotmail.com,2001-05-05,Black,Bachelor's,20
Sage,Wieser,5 Boston Ave #88,sage_wieser@cox.net,1977-04-01,White,Doctorate,44
Kris,Marrier,228 Runamuck Pl #2808,kris@gmail.com,2001-11-07,White,Bachelor's,20
Minna,Amigon,2371 Jerrold Ave,minna_amigon@yahoo.com,1996-04-11,Black,Doctorate,25
Abel,Maclead,37275 St  Rt 17m M,amaclead@gmail.com,1971-05-21,White,Bachelor's,50
Kiley,Caldarera,25 E 75th St #69,kiley.caldarera@aol.com,1981-03-18,White,Associate,40
Graciela,Ruta,98 Connecticut Ave Nw,gruta@cox.net,1962-10-03,Unknown,High School,59
Cammy,Albares,56 E Morehead St,calbares@gmail.com,1977-10-23,Unknown,Associate,44
Mattie,Poquette,73 State Road 434 E,mattie@aol.com,1974-02-24,White,Doctorate,47
Meaghan,Garufi,69734 E Carrillo St,meaghan@hotmail.com,2002-06-26,Black,Doctorate,19
Gladys,Rim,322 New Horizon Blvd,gladys.rim@rim.org,2000-07-13,Native American,Master's,21
Yuki,Whobrey,1 State Route 27,yuki_whobrey@aol.com,1969-05-23,Black,Master's,52
Fletcher,Flosi,394 Manchester Blvd,fletcher.flosi@yahoo.com,1972-09-17,Unknown,High School,49
Bette,Nicka,6 S 33rd St,bette_nicka@cox.net,1969-04-20,Black,Bachelor's,52
Veronika,Inouye,6 Greenleaf Ave,vinouye@aol.com,1973-07-04,White,Doctorate,48
Willard,Kolmetz,618 W Yakima Ave,willard@hotmail.com,2000-09-06,White,High School,21
Maryann,Royster,74 S Westgate St,mroyster@royster.com,1986-09-26,Black,Master's,35
Alisha,Slusarski,3273 State St,alisha@slusarski.com,1993-06-13,White,Bachelor's,28
Allene,Iturbide,1 Central Ave,allene_iturbide@cox.net,1983-07-18,Unknown,Associate,38
Chanel,Caudy,86 Nw 66th St #8673,chanel.caudy@caudy.org,1973-07-04,Black,Bachelor's,48
